,stationId,wdId,altName,region,lat,long,yFounded,yRenewed
1,Elim,Q1003342,,Südafrika,-34.59166666666667,19.758333333333333,1736,1790
2,Enon,Q5379390,,Südafrika,-33.39805555555556,25.545,1736,1791
3,Genadendal,Q1501295,Gnadenthal,Südafrika,-34.03333333333333,19.55,1736,1792
5,Mamre,Q11142530,Grönekloof,Südafrika,-33.51669444444445,18.466694444444443,1736,1794
8,Neuherrnhut_GRL,Q1996491,Neuherrnhut,Grönland,64.18061111111112,-51.74169444444445,1733,
9,Lichtenfels,Q423740,Lichtenfels,Grönland,63.06083333333333,-50.74166666666667,1733,
10,Lichtenau,Q1016295,Lichtenau,Grönland,60.5075,-45.53777777777778,1733,
11,Friedrichsthal,Q663788,Friedrichsthal,Grönland,60.005,-44.665277777777774,1733,
12,Nain,Q3335210,Nain,Labrador,56.55,-61.68333333333333,1770,
13,Hoffenthal,Q11338369,Hoffenthal,Labrador,55.46666666666667,-60.21666666666667,1770,
14,Okak,Q7081733,Okak,Labrador,57.56433333333333,-61.98302777777778,1770,
15,Hebron,Q5695991,Hebron,Labrador,58.2,-62.626111111111115,1770,
21,Neuherrnhut_ST,Q1979071,"Neuherrnhut, St. Thomas",Dänisch-Westindien,18.36577777777778,-64.99052777777779,1732,
23,Friedensthal_SC,Q30624659,"Friedensthal, St. Croix",Dänisch-Westindien,17.74138888888889,-64.71194444444444,1732,
25,Friedensfeld_SC,Q5503660,"Friedensfeld, St. Croix",Dänisch-Westindien,17.746111111111112,-64.78055555555555,1732,
27,Emmaus_SJ,Q5373393,"Emmaus, St. John",Dänisch-Westindien,18.348055555555554,-64.71777777777778,1732,
53,Paramaribo,Q3001,Paramaribo,Suriname,5.852222222222222,-55.20388888888889,1735,
54,PlantageCH,Q59115570,Plantage Charlottenburg,Suriname,5.874761111111112,-54.7823,1735,
