,stationId,year,pop_1,pop_2
0,Neuherrnhut_GRL,1822,,
1,Lichtenfels,1822,,
2,Lichtenau,1822,,
3,Friedrichsthal,1822,,
4,Nain,1822,,
5,Okak,1822,,
6,Hoffenthal,1822,,
7,Hebron,1822,,
8,Neuherrnhut_ST,1822,,
9,Emmaus_SJ,1822,,
10,Friedensthal_SC,1822,,
11,Friedensfeld_SC,1822,,
12,Bethabara,1822,,
13,Paramaribo,1822,,
14,PlantageCH,1822,,
15,Genadendal,1822,1213,1403
16,Mamre,1822,,
17,Elim,1822,,
18,Enon,1822,,
19,Neuherrnhut_GRL,1823,,
20,Lichtenfels,1823,,
21,Lichtenau,1823,,
22,Friedrichsthal,1823,,
23,Nain,1823,,
24,Okak,1823,,
25,Hoffenthal,1823,,
26,Hebron,1823,,
27,Neuherrnhut_ST,1823,,
28,Emmaus_SJ,1823,,
29,Friedensthal_SC,1823,,
30,Friedensfeld_SC,1823,,
31,Bethabara,1823,,
32,Paramaribo,1823,,
33,PlantageCH,1823,,
34,Genadendal,1823,1125,1301
35,Mamre,1823,,
36,Elim,1823,,
37,Enon,1823,,
38,Neuherrnhut_GRL,1824,,
39,Lichtenfels,1824,,
40,Lichtenau,1824,,
41,Friedrichsthal,1824,,
42,Nain,1824,,
43,Okak,1824,,
44,Hoffenthal,1824,,
45,Hebron,1824,,
46,Neuherrnhut_ST,1824,,
47,Emmaus_SJ,1824,,
48,Friedensthal_SC,1824,,
49,Friedensfeld_SC,1824,,
50,Bethabara,1824,,
51,Paramaribo,1824,,
52,PlantageCH,1824,,
53,Genadendal,1824,1108,
54,Mamre,1824,,
55,Elim,1824,,
56,Enon,1824,,
57,Neuherrnhut_GRL,1825,,
58,Lichtenfels,1825,,
59,Lichtenau,1825,,
60,Friedrichsthal,1825,,
61,Nain,1825,,
62,Okak,1825,,
63,Hoffenthal,1825,,
64,Hebron,1825,,
65,Neuherrnhut_ST,1825,,
66,Emmaus_SJ,1825,,
67,Friedensthal_SC,1825,,
68,Friedensfeld_SC,1825,,
69,Bethabara,1825,,
