,stationId,wdId,altName,region,lat,long,yFounded,yRenewed
1,Elim,,,Südafrika,-34.59166666666667,19.758333333333333,1736,1790
2,Enon,,,Südafrika,-33.39805555555556,25.545,1736,1791
3,Genadendal,,Gnadenthal,Südafrika,-34.03333333333333,19.55,1736,1792
5,Mamre,,Grönekloof,Südafrika,-33.51669444444445,18.466694444444443,1736,1794
8,Neuherrnhut_GRL,,Neuherrnhut,Grönland,64.18061111111112,-51.74169444444445,1733,
9,Lichtenfels,,Lichtenfels,Grönland,63.06083333333333,-50.74166666666667,1733,
10,Lichtenau,,Lichtenau,Grönland,60.5075,-45.53777777777778,1733,
11,Friedrichsthal,,Friedrichsthal,Grönland,60.005,-44.665277777777774,1733,
12,Nain,,Nain,Labrador,56.55,-61.68333333333333,1770,
13,Hoffenthal,,Hoffenthal,Labrador,55.46666666666667,-60.21666666666667,1770,
14,Okak,,Okak,Labrador,57.56433333333333,-61.98302777777778,1770,
15,Hebron,,Hebron,Labrador,58.2,-62.626111111111115,1770,
21,Neuherrnhut_ST,,"Neuherrnhut, St. Thomas",Dänisch-Westindien,18.36577777777778,-64.99052777777779,1732,
23,Friedensthal_SC,,"Friedensthal, St. Croix",Dänisch-Westindien,17.74138888888889,-64.71194444444444,1732,
25,Friedensfeld_SC,,"Friedensfeld, St. Croix",Dänisch-Westindien,17.746111111111112,-64.78055555555555,1732,
27,Emmaus_SJ,,"Emmaus, St. John",Dänisch-Westindien,18.348055555555554,-64.71777777777778,1732,
53,Paramaribo,,Paramaribo,Suriname,5.852222222222222,-55.20388888888889,1735,
